day_folder,file,label_sequence
base_241001,bird1_bkd_241001_165935.121.wav,iiiihhcjcbbiiiiihhcjdgbbihcjdgbbihcjcbbdgbbihcjii
base_241001,bird1_bkd_241001_151814.2.wav,iiiiiihhcjcbbihcjdgbbihcjdgbbihcjdgbbiiiihcjcihdgbbihcjdgbbihcjdg
base_241001,bird1_bkd_241001_163028.91.wav,ihhcjdgbbihcjdgbbihcjdgbb
base_241001,bird1_bkd_241001_165840.119.wav,iiiiiiiiihhhcjdgbbihcjdgbbihcjdgbbihdgbbihcjdgbbiiihcjdgbb
base_241001,bird1_bkd_241001_164824.105.wav,iiiiihhcjcbbihcjdgbbihcjdgbbihcjdgbbihcjdgbb
base_241001,bird1_bkd_241001_171607.135.wav,iiiiiiiiiihhhcjdgbbihcjdgbbihcjdgbbihcjdgbb
base_241001,bird1_bkd_241001_161355.70.wav,idiiiiiiiighhcjcbbihcjdgbbihcjcbbihcjdgbbihcjcihdg
base_241001,bird1_bkd_241001_162913.89.wav,iiiiiiiiiiiiiiiiiihhcjcbhdgbbihdgbb
base_241001,bird1_bkd_241001_151924.4.wav,iiiiiiiihhhcjcbbihcjdgbbihcjdgbbihcjdgbbihcjdgbb
base_241001,bird1_bkd_241001_165416.110.wav,iiiiiihhhhcjcbbihdgbbihcjdgbbihcjdgbbihcjdgbb
base_241001,bird1_bkd_241001_161320.69.wav,iiiiiiiihhcjcbbihcjdgbbihcjdgbb
base_241001,bird1_bkd_241001_151737.1.wav,iiiiiiiihhhcjcbbihcjdgbbihcjdgbbihcjcbbdgbbdhcjdgbbii
base_241001,bird1_bkd_241001_172359.141.wav,iiiiiiiiihhcjcbbihcjdgbbdhcjdgbbihcjdgbbihcjdgbbihcjdg
base_241001,bird1_bkd_241001_174724.160.wav,iiiiiiihhhhcjcbb
base_241001,bird1_bkd_241001_152114.7.wav,iiiiiiiiihhhcjcbbihcjdgbbihcjdgbbihdgbb
base_241001,bird1_bkd_241001_172520.143.wav,iiihhcjcbbihcjdgbbihcjdgbbihcjdg
base_241001,bird1_bkd_241001_165514.111.wav,iiihhhcjdgbbihcjdgbbihcjdgbbihcjcdg
base_241001,bird1_bkd_241001_164954.107.wav,iiiiiiiiiihhhcjdgbbihdgbbihcjdgbbihcjdgbbihcjcihdg
base_241001,bird1_bkd_241001_165904.120.wav,iidiiiiiihhhcjcbbihcjdgbbihcjdgbbcjdgbbihcjdgiihcjdg
base_241001,bird1_bkd_241001_161208.65.wav,iiiiiiiihhhcjcbbihcjdgbbihcjdgbbihdgbbihcjdg
base_241001,bird1_bkd_241001_172435.142.wav,iiiiiiiiiihhhhcjdgbbihcjdgbbihcjdgbbihcjdg
base_241001,bird1_bkd_241001_152852.16.wav,iiiiiiiiihhcjdgbbihcjdgbbiiiihhcjdgbbihcjcbbdg
base_241001,bird1_bkd_241001_153314.24.wav,iiiiiiiiihhhhhcjdgbbihdgbbihcjdgbbihdgbb
base_241001,bird1_bkd_241001_161252.67.wav,iigiiiihiihhcjcbbihcjdgbbihcjdgbbihcjdgbbihcjdg
base_241001,bird1_bkd_241001_195336.203.wav,iijhhhcjdgbbihcjdgbb
base_241001,bird1_bkd_241001_152835.15.wav,iiiiiihihhhhcjdgi
base_241001,bird1_bkd_241001_164726.103.wav,giiiiiihiihhhcjcbbihdgbbihcjdgbbihcjdgbbihcjgbbiiiihhcjcihdgbbihcjdgiiiiiihhcjcbbihcjgbbihcjdgbbihcjdgbbihcjdg
base_241001,bird1_bkd_241001_160833.62.wav,iiiiiiiiihhhhcjcbbihdgbbihcjdgbbihcjdgbbihcjdg
base_241001,bird1_bkd_241001_161417.71.wav,iiiiiiiiihhhcjcbbihcjdgbbihcjdgbbcjcbbdgbb
base_241001,bird1_bkd_241001_162951.90.wav,iiiiihhhcjdhdgbbihdgbbihcjdgbbihcjdgbbihcjdg
base_241001,bird1_bkd_241001_161109.64.wav,iiiiiiiiiiihhhhcjcbbdgbbi
base_241001,bird1_bkd_241001_153607.29.wav,iiiiiiihhhhcjdgbbihciiihhcjdgbbihcjdgbb
base_241001,bird1_bkd_241001_161644.75.wav,igiiiiiiihhhcdgbbihdgbbihcjdgbbihcjcihdgbbihcjdgbbihcjcdgiiiiiiiiihhhhcjcbbihdgbbihcjdgbbihcjdgbbihcjdgiiihcjcihdgbbihcjdgiiiiiiihcdgbb
base_241001,bird1_bkd_241001_153645.30.wav,iiiiiiiihhhcjcbbdgbbihcjdgbbihcjdgbbihcjdgbbihcjdgbbihcjcihdgbb
base_241001,bird1_bkd_241001_181348.166.wav,iihhhhhcjdgbbihcjdgbbihdgbbihc
base_241001,bird1_bkd_241001_181358.167.wav,iihcjdgbbihcjdgbbihcjdgb
base_241001,bird1_bkd_241001_174729.161.wav,iiiiiihhcjdgbbihcjdgbbihcjdiiiiiiiihhcjdgbbihcjdgbbihcjdgbbihcjdgbb
base_241001,bird1_bkd_241001_152010.5.wav,iiiiiihhhcjcbbihcjdgbbihcjdgbbihcjdgbbihcjdgbb
base_241001,bird1_bkd_241001_172303.140.wav,ihhhcjdgbbihdgbb
base_241001,bird1_bkd_241001_162334.84.wav,iiiiiiiiiihhhcjcbbihdgbbihcjdgbbihcjdgbbiiihhcjdgbbihcjcihdgbbihcjdgb
base_241001,bird1_bkd_241001_170921.129.wav,iiihhhcjdgbbihdgbbihcjdgbhcjdgbbihcjdg
base_241001,bird1_bkd_241001_153738.32.wav,iiiiiiiihhhhcjdgbbihcjcbbdgbb
base_241001,bird1_bkd_241001_171740.136.wav,iiiiiiiiihiihhcjdgbbihcjdgbbihcjdgbbihcjdgbbiiihhcjdgbbi
base_241001,bird1_bkd_241001_153526.28.wav,iiiiiiihhhcjdgbbihcjdgbbihcjdgbbihcjcihdgbb
base_241001,bird1_bkd_241001_164610.102.wav,iiiiiiiiihhhcjdgbbihcjdgbbihcjdgbb
base_241001,bird1_bkd_241001_161228.66.wav,iiiiiiihhcjcihdgbbihcjdgbbihdgbbihcjciicjdgbb
