day_folder,file,label_sequence
base1_251113,bird2_B3_251113_145658.407.wav,iiiikiikkkkkkleeeeeeedcabbdcfjjjeeeeedcdcdcfjjjjeedcdcab
base1_251113,bird2_B3_251113_113725.141.wav,iiiikkkkleeeeeeedcdcabbdcdcabbggggggkkleeedcdcabdcdcfjjjjjjeeeedcabbdcdcabbg
base1_251113,bird2_B3_251113_103155.54.wav,iiiikkkkleeeeeedcdcabbdcdcfjjjjjeeeedcab
base1_251113,bird2_B3_251113_135433.337.wav,iiiiiiiiiikiikikleeeggkleeeedcdcdcabbdcdcabbdcdcfjjjjeedciikkkkleeeeedcabbdcdcdcabbbdcd
base1_251113,bird2_B3_251113_132327.304.wav,iiikikkkkkkileeeeedcdcdcdcabbbdcdcfjjeeeeedcdcabbbbdcabbdcdcfjjjeedcdcdcabbbbbdcdcabbbkggggleeeeeedcdcabbkbb
base1_251113,bird2_B3_251113_162543.547.wav,iiiiiiikkkkkkkleeeedcdcdcfjjjeedcdcfjjjeeeedcabbdcdcfjjjjeeeeedcdcdcabbdcdcfjjjjjjeedcdcdcdcabbdcdcab
base1_251113,bird2_B3_251113_112156.113.wav,iiiiiiikkkleeeedcdcabdcdcabbdcfjj
base1_251113,bird2_B3_251113_150741.424.wav,iikiklleeeeeedcdcabbdc
base1_251113,bird2_B3_251113_132204.301.wav,iiikikkkkkleeeeedcdcdcabbbdcdcabbdcfjjjeeeemeeeedcdcabbbbdcdcdcabbdcdcfjjjjjeeeeedcdcdcabbdcdcabbbbbdcabgg
base1_251113,bird2_B3_251113_162856.558.wav,iiiikikkkkkkkkleeeeeeedcdcfjjjeedcdcfjjjeeeedcdcabdcdcdcfjjjjjmmeeeedck
base1_251113,bird2_B3_251113_103932.66.wav,iiiikiikkkkleeeedcdcabbdcdcabbdcdcfjjjjjmmmlleeeedcabbdcdcabbdcdcabbdcfjjjjjeedcfabbdcdcdcfjjjeeeeedcabbdcdcabbdcabbb
base1_251113,bird2_B3_251113_110621.78.wav,iiiiiiiikkkklleeedcdcabbdcdcfjjleeeeedcdcabbdcdc
base1_251113,bird2_B3_251113_095448.3.wav,iiiiiiiiiiiikkiikkkkleeeedcabbbbdcdcfjjjmlleeeedcabbdcdcabbbbg
base1_251113,bird2_B3_251113_150845.428.wav,iiikkkleeeeeeedcdcdcfjjjjjjeeedcdcabbdcfjjjjjedcdcdcfjjjjjjeeedcabbgg
base1_251113,bird2_B3_251113_095913.9.wav,iiiiiiikkkkkkleeeedcdcabbdcabbbdcfjjjeeeedcdcdcfjjjjjmeeeeeeedcabdcdcab
base1_251113,bird2_B3_251113_112032.111.wav,iikkleeeeedcdcabbdcabbdcdcfjjjeedcdcabbdcabggg
base1_251113,bird2_B3_251113_153932.478.wav,iiikiiikkikkeeeeeeeedcabbdcdcfjjjjeeeedcdcdcabbbbbdcdcdcfjjjjjjjjmeeeedcabbdcdca
base1_251113,bird2_B3_251113_095827.7.wav,iiiiiiikikikleeeeeedcabbdcdcdcfjjjleeedcabdcdcfjjleeeeeee
base1_251113,bird2_B3_251113_163805.583.wav,iiiiikikkkkkkleeeedcdcdcdcikkleeeedcdcdcdcfjjeeeedcdcdcabbdcdcdcabb
base1_251113,bird2_B3_251113_112347.121.wav,iiiikkikkkleeeeedcabdcabbdcdcabk
base1_251113,bird2_B3_251113_151937.440.wav,iiiiiiiiikikikkkkleeeeeeeeeeeeedcdcabbbdcdcabbggkiikkleeedcdcabbdcdc
base1_251113,bird2_B3_251113_135942.346.wav,iiiiiiiikikikleeeeedcdcdcabbdcdcfjjjeedcdcabdcfjjjeedcabbdcfjjjjjeeed
base1_251113,bird2_B3_251113_104331.70.wav,iiiiiikkkkleeeedcdcdcabdcdcabbdcdcfjjeeedcdcabbbdcabbbbgggggkleeeedcabbdcdcfjjjjleedcdcabbbdcabbgg
base1_251113,bird2_B3_251113_162615.548.wav,iikkiiiikkkkkkleeedcdcabbdcfjjjjeeeeeedcdcdcdcdcfjjjjjeedcdcabbggggggikkleeeedcdcabbdcdcdcabbbkkleeedcdcdcabdcf
base1_251113,bird2_B3_251113_140230.352.wav,iiikkkkkleeeeedcdcdcdcabbbbdcfjjjjeeedcabbdcdcdcfjjjljeeeeedcabbbdcdcfjjjjjjedcdcabbggg
base1_251113,bird2_B3_251113_140304.353.wav,iiiikikkkleeeeedcdcdcdcabbbdcfjjjeeedcdcabbdcdcdcfjjeedcabbdcdcfjk
base1_251113,bird2_B3_251113_140406.354.wav,iiiiiiikiiiikkkkkiikleeeeeeedcdcdcabbdcdcfjjjeeeeeedcdcabbbdcdcabbbdcaiikleeedcabbdcabbdcfjjjeeggg
base1_251113,bird2_B3_251113_150229.411.wav,iiiiikikkkkkkkleeeeedcdcabbbdcfjjjjeeedcdcdcfjjjjeeeeedc
base1_251113,bird2_B3_251113_123415.213.wav,iikikkkikkkklleeeeedcdcdcabdcdcabbdcdcdcdcfjjjjjeeedcabdcabbdcdcgggggleeeedca
base1_251113,bird2_B3_251113_162303.543.wav,iiiiiikiikkkleeeeedcdcdcabbbbbdcdcfjjjeeeedcdcabbbdcdcfjjjjeeedcdcdcabbbdcdcabbdcdfjjjjjjeeedcdcdcdcabggg
base1_251113,bird2_B3_251113_125739.241.wav,iiiiiikkkkleeeeeedcdcabbbdcdcfjjjeedcdcabbdcdcdcfjjjjjeeedcabbdcdcdgggggggikkleeeedcdcabbbbdcdcabbdcdcag
base1_251113,bird2_B3_251113_101449.15.wav,ikiiiikkleeeeedcabbbdcdcfjjjeeeeedcdcdcabbdcdcabbbbkikkleeeedcdcabbbdcabbbdcdcfjjjeeeedcabbd
base1_251113,bird2_B3_251113_123232.210.wav,iikiikkkleeeeedcdcdcabbdcabdcfjjjjjeeeedcabbbdcdcdcabbbggggggkkkleeeeedcdcdcabbdcdcab
base1_251113,bird2_B3_251113_111233.92.wav,iiikkkikleeeeedcabbbdcdcabdcfjjjjjjeedcabbdcdcfjjjjjmmeeedcdcabbdcdcabbbggggggiikkkkleeeeedcdcabbbbdcabbbdcabbggg
base1_251113,bird2_B3_251113_130207.250.wav,iiiiiiikleeeeeeeedcabbbdcdcabbbbbdcdcdcabbggggggglkkmeeeeedcdcdc
base1_251113,bird2_B3_251113_145327.402.wav,iiiiiiikkkleeeeeekggg
base1_251113,bird2_B3_251113_144848.392.wav,iiiiiiiiiiiikkkleeeeeeeeedcdcabbbbbdcabbbb
base1_251113,bird2_B3_251113_123151.208.wav,iiiiiikkkkeeeeedcdcabbdcdcfjjjjjeeeeed
base1_251113,bird2_B3_251113_130642.259.wav,iiiikkkkkkkleeeeeeedcdcabbbdcdcabbdcdcfjjjeeeeeedcabbdcdcfjjjjjjeeeeedcdcdcabbbbdcdcdcabbgggggggkikleeeeedcdcabbbdcdcdcabbbbdcdcabbb
base1_251113,bird2_B3_251113_133203.319.wav,iikkkkkkleeeedcdcdcabbdcdcdcabbbbdcabbdcdcfjjeeeeeedcdcabbdcdcabg
base1_251113,bird2_B3_251113_121531.167.wav,iiiiiiiiiiiikeeeeeeeedcdcdcfjjjeeeeedcabbdcdcfjjjeedcabbdcabb
base1_251113,bird2_B3_251113_151413.438.wav,iiiiikkkkkleeeedcdcdcagggleeeedcfjjjjeedcdcabg
base1_251113,bird2_B3_251113_145215.397.wav,iiikiiiikkkkkkkkkleeeeeeedcdcabbdcdcfjjjeeeeedcdcdcabbg
base1_251113,bird2_B3_251113_162129.540.wav,iiikikkkkkleeeeeedcdcfjjjeedcfjjjjjmmmmlieeedcdcabbbbdcdcdcfjjjjjjjeedcdcabbbdcd
base1_251113,bird2_B3_251113_095809.6.wav,iiiiiiiiiiiiiiiiiikkkkkikkleeeedcabdcdcdcfjjjleeeeeedcabbbgggg
base1_251113,bird2_B3_251113_142001.364.wav,iikiikkleeeeedcdcdcabbbbdcdcdcfjjjjjjmeeeedcdcabbdcdcabbbgggggggkkleeeeeeedcabbdcdcfjjjeekg
base1_251113,bird2_B3_251113_112715.129.wav,iiiikikkikleeeeedcdcabbdcdcabdcfjjjeeeedcdcabbdcdcdcfjjjjmeeeedcabdcabbdcdcabbbbbggggggkkkleeedcabbdcdcabdcabbdcdcfjjjjeeedcabdcabb
base1_251113,bird2_B3_251113_125825.242.wav,iiikiiikkkleeeedcdcabbbbdcdcfjjiikikkkleeeedcabbdcdcdcfjjjjeeeedcabdcdcdcabbdcdcfjjjeeedcabbdcdcab
base1_251113,bird2_B3_251113_122011.179.wav,iiiiikleeeedcdcabbdcfjjjjjjeedcabbdcdcfjjjeeedcabbggggg
base1_251113,bird2_B3_251113_153850.477.wav,iiiiiiikkkkkkkleeeeedcdcabbbdcdcfjjjjjjeeedcdcdcdcabbdcd
base1_251113,bird2_B3_251113_153802.476.wav,iiiiikkkleeeeeeeeedcdcabbbbdcdcdcabbbbbbdcdcfjjjjjeeeedcdcdcdcdcabbbggggggggleeeeedcdcdcabbdcdcabbk
