day_folder,file,label_sequence
base_260105,bird2_DC4_260105_141617.566.wav,iiiiikkleeeeeeedcabbbdc
base_260105,bird2_DC4_260105_133738.536.wav,iiiiikkkkkleeeeedcdcabbbbdcdcdcfjjjeeeeedcdcabbdcdcfjjjeeeedcdcabbdcab
base_260105,bird2_DC4_260105_130723.496.wav,iiiiiikkkkkeeeeedcabbbdcdcfjjjeeedcabbbdcdcfjjjjmmeeedcdcdcabbbbdcdcfjjjeedcdcabbdcabbbbdcabgggggggglleeeeedcabbdc
base_260105,bird2_DC4_260105_133916.539.wav,iiiiiikkkkkleeeeedcdcdcabbdcfjjeeeedcdcdcabbbdcdcfjjmmmeeeedcdcfabgggggggleeeeedcabbdcdcfj
base_260105,bird2_DC4_260105_125017.461.wav,iiiiikkkleeeeeedcdcabdcdcabbbbdcdcfjjjjeedcakkkleeeeedcdcdcabbbbbbbbdcdcfjjjeeeedcabdcdcabbbbdcabdcabbgggggg
base_260105,bird2_DC4_260105_124303.439.wav,iiikkkkkkleeeeeeeeedcdcabbdcdcfjjeeeeeedcdcabbdcabbb
base_260105,bird2_DC4_260105_112016.317.wav,iiiiikkkkleeeeedcdcabdcdcabbdcdcfjjjmeeeedcabdcdcabbdcfjjjeedcfabbbdcgggggleeedcdcabdcdcabbdcdcfjjjeedcabbb
base_260105,bird2_DC4_260105_141314.562.wav,iiiiiiiikkkleeeedcabbiikkkleeeedcdcfjjeeeedcabbdcdcabbbdcfjjjeedcdcabbdcfjjjmmmmeeeedcdcfjjjjjjleeegggggkleeeedcabbbbdcdcfjjjjeeggg
base_260105,bird2_DC4_260105_095829.182.wav,iiiikkkkkleeeeeedcabbbgikkkleeeedcabbdcdcabbdcfjjjmeeedcdcabdcfjjjkggggggleeeeedcdcabdcdcfjjjjjek
base_260105,bird2_DC4_260105_152124.670.wav,iiiikkkkkleeeedcabbdcdcfjjeggggggleeeelmleeeeedcdcd
base_260105,bird2_DC4_260105_123301.431.wav,iiiikkkleeeedcdcabbggggggglleeeeedcdcak
base_260105,bird2_DC4_260105_114802.354.wav,iikkkkleeeeeeedcabdcdcfjjeeeeedcdcabdcfjj
