day_folder,file,label_sequence
base1_250923,bird3_bF5_250923_165320.1022.wav,iiiiiiiiiiiiiiibckcdjgmfffffffbbbbckcdjgamf
base1_250923,bird3_bF5_250923_155409.892.wav,iiiiiiiibbbbckcdjgmffffbbckcdjgm
base1_250923,bird3_bF5_250923_100347.39.wav,iiiiiiiiiiibbckcdjghamfffffbbckcdjghamf
base1_250923,bird3_bF5_250923_121633.361.wav,iiiiiiiibbbckcdjghamfckbfffbbbckcdjghamckfffbbbbckcdjghamf
base1_250923,bird3_bF5_250923_100838.51.wav,iiiiiibbbbckcdjghamffffbbbckcdjgham
base1_250923,bird3_bF5_250923_093206.5.wav,iiiiiiiiibbbckcdjghamfckbfffbbbckcdjgham
base1_250923,bird3_bF5_250923_152549.822.wav,iiiiiiiiiiiiiifiiibbbbbckcdjgamffff
base1_250923,bird3_bF5_250923_144855.736.wav,iiiiiibbckcdjgmfffbbbckcdjgamff
base1_250923,bird3_bF5_250923_100851.52.wav,iiiiiiibbbckcdjghamfckbffffffbbckcdjghamf
base1_250923,bird3_bF5_250923_132505.513.wav,iiiiiiiiiiibbckcdjgamfff
base1_250923,bird3_bF5_250923_101001.54.wav,iiiiiiiiibbckcdjghamffffbbckcdjghamf
base1_250923,bird3_bF5_250923_093108.3.wav,iiiiiibbbckcdjghamfffffbbckcdjghamf
base1_250923,bird3_bF5_250923_095837.22.wav,iiiiiiibbbbbckcdjghamckbbcdjghamffffbbbckcdjghamiiiiiibbckcdjghamckcdjghamfffffbbckcdjghai
base1_250923,bird3_bF5_250923_121726.364.wav,iiiiiibbbbckcdjghamffffbbckcdjgham
base1_250923,bird3_bF5_250923_134316.578.wav,iiiiiiiiiibbbckcdjgmfffbbbckcdjg
base1_250923,bird3_bF5_250923_154153.876.wav,iiiiiffbbbckcdjgmckcdjgamfffbbbbbckcdjgamfffbbbbckcdjgamf
