day_folder,file,label_sequence
base_260123,bird3_kB4_260123_143850.430.wav,iiiiiiiibbbbbckcdjgamff
base_260123,bird3_kB4_260123_153025.506.wav,iiiiiiibbbckcdjgmffbbckcdjgmckbbbbckcdjgamckbffffbbckcdjgamf
base_260123,bird3_kB4_260123_120547.326.wav,iiiiiiiiiiiiiiibbbbbckcdjgmfffbbbckcdjgamf
base_260123,bird3_kB4_260123_131814.354.wav,iiiiiiiiibckcdjgamffffbbckcdjgamf
base_260123,bird3_kB4_260123_161210.532.wav,iiiiiiiiiibbckcdjgamfffbbbckcdjga
base_260123,bird3_kB4_260123_133314.385.wav,iiiiiiiibbbckcdjgamff
base_260123,bird3_kB4_260123_102642.266.wav,iiiiiiiiibbbbckcdjgamfffbbckcdjgam
base_260123,bird3_kB4_260123_105757.296.wav,iiiiiiiiiibbbckcdjgam
base_260123,bird3_kB4_260123_153103.508.wav,iiiiiibbckcdjgamfffbbbbckcdjgm
base_260123,bird3_kB4_260123_170054.577.wav,iiiiiiiiiifiiiiiiibbbckcdjgamffff
base_260123,bird3_kB4_260123_103342.285.wav,iiiiiiibbbckcdjgamf
base_260123,bird3_kB4_260123_120258.324.wav,iiiiiiibbckcdjgamf
base_260123,bird3_kB4_260123_144104.439.wav,iiiiiiiiiiiibckcdjgamfffbbckcdjgamfffbbckcdjgamffffcdjgamf
base_260123,bird3_kB4_260123_095041.248.wav,iiiiiiiiibbbckcdjgamf
base_260123,bird3_kB4_260123_134926.401.wav,iiiibbbbckcdjgamffbbcdjgaffbbbcdjga
base_260123,bird3_kB4_260123_162004.562.wav,iiiibbbckcdjgamckffbbckcdjgamckbffffbbcdjgamffffbbckcdjgamf
base_260123,bird3_kB4_260123_161151.531.wav,iiiiiiibbbckcdjgmffff
base_260123,bird3_kB4_260123_153050.507.wav,iiiiiiibbbbckcdjgamfffbbbckcdjga
base_260123,bird3_kB4_260123_132047.359.wav,iiiiiiiiiibbbckcdjgamffbbbckcdjgmf
base_260123,bird3_kB4_260123_170501.578.wav,iiiiiiiiiiiibbbbckcdjgam
base_260123,bird3_kB4_260123_122326.346.wav,iiiiiibbbbbckcdjgmffff
base_260123,bird3_kB4_260123_103425.287.wav,iiiiibbbbckcdjgmfffbbckcdjgafffbbbcff
base_260123,bird3_kB4_260123_145206.478.wav,iiiiiiibbckcdjgmffbbbckcdjgmf
base_260123,bird3_kB4_260123_094719.242.wav,iiiiiiiiibbbckcdjgamfffbbbckcdjgamf
base_260123,bird3_kB4_260123_102837.271.wav,iiiiiibbbckcdjgamf
base_260123,bird3_kB4_260123_135047.403.wav,iiiiiiiibbbckcdjgamckbbbbckcdjgamckbbbbckcdjgamfffffbbbckcdjgamf
base_260123,bird3_kB4_260123_135923.423.wav,iiiiiibbckcdjgamffbbbbckcdjga
base_260123,bird3_kB4_260123_090909.227.wav,iiiiiiiibbbbckcdjgam
base_260123,bird3_kB4_260123_132834.374.wav,iiiiiiiibbckcdjgamffbbckcdjgmckbbbcdjgamf
base_260123,bird3_kB4_260123_103324.284.wav,iiiiiibbbckcdjgamffffbbckcdjgamf
base_260123,bird3_kB4_260123_170541.579.wav,iiiiiiiiiibbbbckcdjgamffffbbbckcdjgmf
base_260123,bird3_kB4_260123_145050.474.wav,iiiiibbbckcdjgamffffbbbckcdjgamf
base_260123,bird3_kB4_260123_170802.583.wav,iiiiiiiiiiibbbckcdjgamffbbbckcdjgamffffbbckcdjgamf
base_260123,bird3_kB4_260123_132347.365.wav,iiiiiibbckcdjgamfffbbbckcdjgamf
