day_folder,file,label_sequence
base2_251207,bird4_HF4_251207_135430.343.wav,ccccccicccccccccccccciibbiaeeehfhfdgkjjcccikbbiaeeeeeeeeeehfhfhfhfdddccccikjjiaeeeeeeeeecccccccccgiibbccccccciibbiaeeeeeeeeeehfhfhfdgkjjccccikbbiaeeeeeeeeehfhfhfhfdgikaeeeeeeeehfhfhfhfhfdcccccccccc
base2_251207,bird4_HF4_251207_161137.523.wav,ccccccccccccccccccikbbiaeeeehfhfhccccccccccccccccccgikbbbiaeeeeeeeehfhfhfddcccccccgikbbiaeeeeeeeeehfhfhfhfc
base2_251207,bird4_HF4_251207_144358.423.wav,cccccccccccccccccccikbbiaeeeehfhfdgccccccccccciikbbbiaeeeeeeehfhfdgkjjcccccaeeeeehfhfcccccccccgikbbiaeeeeeeekccccgikbbiaeeeeeehfhfhfddgkjj
base2_251207,bird4_HF4_251207_155245.479.wav,ccccccccccikbbiaeeeeeeeehfhfhfddgkjjccgcccgcgikbbiaeeeeeeehfhfhfddgc
base2_251207,bird4_HF4_251207_125055.243.wav,ccciccccgccciiaeeeeeeeeaeehfhfhfhfddgijjccccccgiiaeeeeeeeeeehfhfddicccccgcccccgkjjkaeeeeeeeeehfhfk
base2_251207,bird4_HF4_251207_172607.557.wav,ccccccccccccikbbiaeeeeeeehfhfdgkjjcccccaeeeeeehfhfddgccccccccikbbiaeeeeeeeehfhfdgkjjiaeeeeeeehfddgcikbbiaeeeeeeeehfhfhfdd
base2_251207,bird4_HF4_251207_135027.336.wav,ciiiiccciiibbcccccciiibbiaeeeeeeeeeehfhfddgkjjckbbiaeeeeeeeeehfhfhfdgkj
base2_251207,bird4_HF4_251207_133317.282.wav,ciiiiiiiiccciiccccciiiaeeeeeeeehfhfhfdgkjcccccciiaeeeeeeeeehfhfhfdgccccccikbbiaeeehfhfddgcikjcgikaeeeeeeehfhfddd
base2_251207,bird4_HF4_251207_141312.382.wav,cccccccccccccciibbiaeeeeeeeehfhfhfdgkjjcccccgcccikjjckbbbieeeeeeeeeeehfhfddi
base2_251207,bird4_HF4_251207_160310.505.wav,cccccccccccccccciibbbbccccccccciiaeeeehjjgccccccccikbbbiaeeeeeeeeehfhfhfhfdgkjjiikcccgcccccccgccccccikbbiaaeeeeeehfhfdgkjjcgkbbbiaeeeeeeeeeehfhfd
